main_category|sub_category|channel|description
sport|rally|VRT 1|AUTO. RALLY BK. EAST BELGIAN (S.)
sport|gymnastic|VRT 1|TURNEN. WK. ANTWERPEN
lifestyle|travel/tourism|VTM|JORDY DOET IBIZA
knowledge|nature/environment|VRT CANVAS|ELS ZIET ZE VLIEGEN
knowledge|human interest/society|VRT CANVAS|GODVERGETEN
sport|cycling (road)|VRT 1|WIELRENNEN. EK. WEGRIT DRENTHE H.
sport|cycling (road)|VRT 1|WIELRENNEN. EK. WEGRIT DRENTHE D.
knowledge|nature/environment|VRT 1|DIEREN IN NESTEN
lifestyle|miscellaneous|VRT CANVAS|JAN VAN LOOVEREN LOSLATEN
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - CL.BRUGGE/BESIKTAS
sport|football|PLAY5|VB. C3 UEFA SCHIFT - GENK/FIORENTINA
lifestyle|miscellaneous|VTM2|LADY TRUCKERS
sport|cycling (road)|VRT 1|WIELRENNEN. EK. TIJDRIJDEN DRENTHE H.
sport|football|VTM2|VB. C1 UEFA SCHIFT - BAYERN/MANCHESTER U.
sport|football|VTM2|VB. C1 UEFA SCHIFT - FC.BARCELONA/ANTWERPEN
information|economy/politics/society affairs|VTM|HET GROTE GELDDEBAT
sport|cycling (road)|VRT CANVAS|WIELRENNEN. VUELTA - RIT 21 HIPODROMO DE LA ZARZUELA>MADRID P
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 20 MANZANARES EL REAL>GUADARRAMA
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 19 LA BANEZA>ISCAR
sport|cycling (road)|VRT 1|WIELRENNEN. KAMPIOENSCHAP VAN VLAANDEREN H.
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 18 POLA DE ALLANDE>LA CRUZ DE LINARE
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 17 RIBADESELLA/RIBESEYA>ALTU DE L'AN
sport|football|VTM|VB. EK. KWALIF - BELGIE/ESTLAND
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 16 LIENCRES PLAYA>BEJES
knowledge|humanities/history|VRT CANVAS|9/11 LIFE UNDER ATTACK
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 15 PAMPLONA>LEKUNBERRI
entertainment|variety|VTM|MAKE UP YOUR MIND, HET VERHAAL VAN DE QUEENS
sport|football|VTM|VB. EK. KWALIF - AZERBAIJAN/BELGIE
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 14 SAUVETERRE-DE-BEARN>LARRA-BELAGUA
fiction|action|VTM|THE KING'S MAN
fiction|popular comedy|VTM|NONKEL JEF
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 13 FORMIGAL. HUESCA LA MAGIA>COL DU
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 12 OLVEGA>ZARAGOZA
knowledge|human interest/society|VRT CANVAS|CHILDREN OF THE TALIBAN
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 11 LERMA>LA LAGUNA NEGRA. VINUESA
entertainment|variety|VTM|DANK U, DANY
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 10 VALLADOLID>VALLADOLID
lifestyle|show business/variety/stars|VTM|MET DE JORIS
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 9 CARTAGENA>COLLADO DE LA CRUZ DE CA
fiction|police|VRT 1|INSPECTOR MORSE
lifestyle|cooking/food/drink|VRT 1|STANLEY TUCCI SEARCHING FOR ITALY
sport|rally|VRT 1|AUTO. RALLY BK. ROESELARE (S.)
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 8 DENIA>XORRET DE CATI. COSTA BLANCA
fiction|police|VTM|ROOKIE
fiction|action|VTM|THE PATRIOT
fiction|psychologic drama/melodrama|VRT CANVAS|SPENCER
entertainment|humour|VRT CANVAS|XANDER DE RYCKE, DIT TERZIJDE
entertainment|variety|VRT 1|ZOMERAVONDEN
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 6 LA VALL D'UIXO>PICO DEL BUITRE
sport|football|VTM2|VB. C4 UEFA SCHIFT - CL.BRUGGE/OSASUNA
knowledge|architecture/urbanism|VRT CANVAS|L'ALHAMBRA, FORTERESSE MEDITERRANEENNE
entertainment|young amusement|VTM|BITTERSWEET SIXTEEN
sport|football|VTM2|VB. C1 UEFA SCHIFT - ATHENE/ANTWERP
lifestyle|travel/tourism|VRT 1|EVIVA ESPANA
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 5 MORELLA>BURRIANA
entertainment|game|PLAY4|TUSSEN 4 BUREN
lifestyle|human interest/society|VRT 1|BUURMAN, WAT DOET U NU?
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 4 ANDORRA LA VELLA. ANDORRA>TARRAGON
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 3 SURIA>ARINSAL. ANDORRA
entertainment|game|VRT 1|DE KEMPING
knowledge|human interest/society|VRT 1|DELPHINE, MIJN VERHAAL
entertainment|variety|VTM|DAAR DOEN WE HET VOOR
sport|cycling (road)|VRT CANVAS|THE LAST RIDER
lifestyle|travel/tourism|VRT 1|REIZEN WAES EUROPA
fiction|thriller|VRT 1|HET TWEEDE GELAAT
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 2 MATARO>BARCELONA
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 5 RIEMST>BILZEN
sport|athletics (track/piste)|VRT CANVAS|ATLETIEK. WK. BOEDAPEST
entertainment|variety|VTM|WAT EEN JAAR
sport|formula 1|VRT 1|F1. WK. GP. NEDERLAND (S.)
fiction|popular drama/comedy|VTM|SAFETY FIRST
fiction|popular drama/comedy|VTM|BRASSERIE ROMANTIEK
entertainment|humour|PLAY4|ALEX AGNEW, BE CAREFUL WHAT YOU WISH FOR
entertainment|music|VRT 1|#LIKEME IN CONCERT 4
fiction|action|VTM|HONEST THIEF
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 4 BERINGEN>PEER
knowledge|nature/environment|VRT 1|SPY IN THE OCEAN
sport|cycling (road)|KETNET|WIELRENNEN. RONDE VAN SPANJE
fiction|fantasy/fairy tale|VTM2|THE DARK TOWER
sport|jumping|VRT 1|PAARDENSPORT. BRUSSELS STEPHEX MASTERS
fiction|psychologic drama/melodrama|VRT 1|SPRAKELOOS
fiction|psychologic drama/melodrama|VRT CANVAS|ZAGROS
entertainment|music|VTM|TIEN OM TE ZIEN (2023)
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 3 AALTER>GERAARDSBERGEN
lifestyle|pets|VRT 1|THE DOG HOUSE
fiction|psychologic drama/melodrama|VRT CANVAS|MR. JONES
sport|football|VTM2|VB. C4 UEFA SCHIFT - OSASUNA/CL.BRUGGE
entertainment|humour|VTM|...VOOR DUMMIES
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 2 INDIVIDUELE TIJDRIT IN SLUIS
sport|athletics (track/piste)|Canvas|ATLETIEK. WK. BOEDAPEST
sport|football|VTM2|VB. C1 UEFA SCHIFT - MOLDE/GALATASARAY
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 1 BLANKENBERGE>ARDOOIE
sport|football|VTM2|VB. C1 UEFA SCHIFT - ANTWERPEN/ATHENS
fiction|popular drama/comedy|PLAY4|MIJN SLECHTSTE BESTE VRIENDIN
fiction|popular drama/comedy|VTM|PATRICK
sport|athletics (track/piste)|VRT 1|ATLETIEK. WK. BOEDAPEST
fiction|police|PLAY5|EAST NEW YORK
entertainment|music|VRT 1|ZOMERHIT 2023
knowledge|human interest/society|VRT 1|BRITAIN'S BUSIEST AIRPORT HEATHROW
sport|football|VRT 1|VB. WK. D. (S.)
fiction|action|VTM|JURASSIC WORLD, FALLEN KINGDOM
entertainment|music|VRT CANVAS|PUKKELPOP LIVE
fiction|thriller|VTM|ANGELS & DEMONS
entertainment|variety|VRT 1|ZOMERAVONDEN
sport|football|VTM2|VB. C3 UEFA SCHIFT - GENK/OLYMPIAKOS
sport|football|VTM2|VB. SUPER EB - MANCHESTER C./SEVILLA
knowledge|nature/environment|Canvas|WILD NEDERLAND
sport|cycling (track/piste)|VRT 1|BAANWIELRENNEN. WK. GLASGOW D.
fiction|thriller|VRT 1|DE ZAAK ALZHEIMER
lifestyle|cooking/food/drink|VRT 1|NADIYA'S AMERICAN ADVENTURE
fiction|popular drama/comedy|VTM|DE COLLEGA'S 2.0
knowledge|nature/environment|Canvas|EARTH'S GREAT RIVERS
knowledge|nature/environment|VRT 1|PATRICK ARYEE'S WILD WORLD
fiction|thriller|VTM|KNIVES OUT
fiction|psychologic drama/melodrama|VRT CANVAS|DES
sport|football|VRT 1|VB. WK. 1/4F D. (S)
knowledge|nature/environment|VRT CANVAS|MEERKAT MANOR - A FAMILY AFFAIR
sport|cycling (track/piste)|VRT 1|BAANWIELRENNEN. WK. GLASGOW H.
fiction|thriller|VTM|THE DA VINCI CODE
fiction|action|VRT CANVAS|THE OLD MAN AND THE GUN
fiction|fantasy/fairy tale|PLAY4|THE LORD OF THE RINGS III
sport|football|VTM2|VB. C4 UEFA SCHIFT - CL.BRUGES/AKUREKRY
sport|cycling (road)|VRT 1|WIELRENNEN. WK. WEGRIT GLASGOW D.
sport|cycling (track/piste)|Canvas|BAANWIELRENNEN. WK. GLASGOW D.
sport|cycling (road)|VRT 1|WIELRENNEN. WK. WEGRIT GLASGOW H.
information|economy/politics/society affairs|Canvas|TRUMP, THE WHITE HOUSE YEARS
fiction|popular drama/comedy|VTM|AANRIJDING IN MOSCOU
lifestyle|pets|VTM|BEESTIG
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANDERLECHT/ANTWERPEN
fiction|adventure|VTM|A DOG'S WAY HOME
knowledge|nature/environment|VRT 1|UNKNOWN MADAGASCAR
fiction|thriller|VRT CANVAS|VIGIL
entertainment|humour|VTM|GINA & CHANTAL
fiction|fantasy/fairy tale|PLAY4|THE LORD OF THE RINGS II
sport|cycling (track/piste)|VRT CANVAS|BAANWIELRENNEN. WK. GLASGOW D.
lifestyle|travel/tourism|VRT 1|DWARS DOOR DE MIDDELLANDSE ZEE
sport|cycling (road)|Canvas|WIELERCLUB WATTAGE
lifestyle|home/decorating|PLAY4|HUIZENJAGERS BUITENLAND
lifestyle|mode/lifestyle|VTM|ALLOO SEXPLICIET
sport|football|VTM2|VB. C1 UEFA SCHIFT - GENK/SERVETTE
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 8 PAU>PAU
fiction|psychologic drama/melodrama|VRT 1|ACHTER DE WOLKEN
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - MET MAARTEN EN MARIJN
sport|formula 1|Canvas|F1. WK. GP. BAHREIN (S.)
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGGE/KV.MECHELEN
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 7 LANNEMEZAN>TOURMALET BAGNERES-DE-B
sport|cycling (road)|VRT 1|WIELRENNEN. CLASICA SAN SEBASTIAN
sport|cycling (road)|VRT CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 7 LANNEMEZAN>TOURMALET BAGNERES-DE-B
fiction|action|VTM|ROBIN HOOD
fiction|thriller|VTM2|THE INVISIBLE MAN
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 6 ALBI>BLAGNAC
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. JUPILER PRO LEAGUE - UNION ST-GILLOISE/ANDERLECHT
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 5 ONET-LE-CHATEAU>ALBI
sport|football|VTM2|VB. UEFA CONFERENCE LEAGUE SCHIFT. - CL.BRUGGE/AARHUS GF
knowledge|humanities/history|VTM|DE JAREN 2000 VOOR DUMMIES
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 4 CAHORS>RODEZ
knowledge|humanities/history|Canvas|STRAFPLEITERS
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 3 COLLONGES-LA-ROUGE>MONTIGNAC-LASCA
fiction|action|VTM2|THE THREE MUSKETEERS
fiction|police|PLAY5|MY LIFE IS MURDER
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 2 CLERMONT-FERRAND>MAURIAC
information|current affair|Canvas|TER ZAKE
lifestyle|travel/tourism|VRT 1|REIZEN WAES
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 21 SAINT-QUENTIN-EN-YVELINES>PARIS C
sport|cycling (road)|Canvas|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 21 SAINT-QUENTIN-EN-YVELINES>PARIS C
sport|cycling (road)|VRT 1|TOUR DE FRANCE, DE BELGEN OP DE CHAMPS-ELYSEES
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 1 CLERMONT-FERRAND>CLERMONT-FERRAND
sport|fighting sports|VTM|SHE GOOD FIGHTER
lifestyle|travel/tourism|Canvas|SINAN OP ZOEK NAAR HET PARADIJS
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 20 BELFORT>LE MARKSTEIN FELLERING
fiction|thriller|VRT CANVAS|GONE BABY GONE
fiction|adventure|VTM|SIX DAYS, SEVEN NIGHTS
fiction|fantasy/fairy tale|VTM|THE SECRET LIFE OF PETS 2
information|special event|VRT 1|SPEKTAKEL 21 JULI 2023, HAPPY BELGIUM
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 19 MOIRANS-EN-MONTAGNE>POLIGNY
fiction|psychologic drama/melodrama|VRT CANVAS|GIRL
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 18 MOUTIERS>BOURG-EN-BRESSE
knowledge|humanities/history|Canvas|TUSSEN OORLOG EN LEVEN
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 17 SAINT-GERVAIS MONT-BLANC>COURCHEV
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 16 PASSY>COMBLOUX
knowledge|nature/environment|VRT 1|ANIMALITIS
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 15 LES GETS LES PORTES DU SOLEIL>SAI
knowledge|humanities/history|Canvas|TO END ALL WAR, OPPENHEIMER & DE ATOOMBOM
entertainment|variety|VTM|DE ZEVENDE HEMEL
fiction|adventure|VTM4|TWO MULES FOR SISTER SARA
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 14 ANNEMASSE>MORZINE LES PORTES DU S
knowledge|nature/environment|VRT 1|ELEPHANTS UP CLOSE
fiction|thriller|VRT CANVAS|INNOCENT
entertainment|variety|VRT CANVAS|MAGIC MOMENTS
fiction|police|VRT 1|BALTHAZAR
lifestyle|home/decorating|PLAY4|KOPEN ZONDER KIJKEN
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 13 CHATILLON-SUR-CHALARONNE>GRAND CO
fiction|action|VRT CANVAS|RIDERS OF JUSTICE
entertainment|game|PLAY4|JOKER
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 12 ROANNE>BELLEVILLE-EN-BEAUJOLAIS
fiction|action|PLAY5|21 BRIDGES
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RTI 11 CLERMONT-FERRAND>MOULINS
fiction|action|VTM2|THE BOURNE SUPREMACY
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 10 VULCANIA>ISSOIRE
knowledge|human interest/society|VTM|DE JAREN '90 VOOR DUMMIES
fiction|thriller|PLAY5|THE FUGITIVE
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 9 SAINT-LEONARD-DE-NOBLAT>PUY DE DOM
knowledge|nature/environment|VRT 1|THE PYRENEES
lifestyle|miscellaneous|VTM|DIEF!
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK
fiction|action|VTM|MISSION IMPOSSIBLE, FALLOUT
fiction|other fiction|VRT 1|HET VARKEN VAN MADONNA
information|current affair|Canvas|VRANCKX
fiction|thriller|Canvas|INNOCENT
entertainment|variety|VTM|GROETEN UIT...
fiction|adventure|VRT 1|ROBIN HOOD - PRINCE OF THIEVES
fiction|psychologic drama/melodrama|Canvas|12 YEARS A SLAVE
fiction|adventure|PLAY4|INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 6 TARBES>CAUTERETS-CAMBASQUE
fiction|thriller|PLAY5|GONE GIRL
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 5 PAU>LARUNS
entertainment|variety|VTM|HET LICHAAM VAN COPPENS
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 4 DAX>NOGARO
knowledge|humanities/history|Canvas|SABENA
fiction|popular drama/comedy|VTM2|DIRTY DANCING
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 3 AMOREBIETA-ETXANO>BAYONNE
sport|cycling (road)|Canvas|WIELRENNEN. RONDE VAN FRANKRIJK - RIT 3 AMOREBIETA-ETXANO>BAYONNE
sport|formula 1|VRT 1|F1. WK. GP. BAHREIN (S.)
fiction|action|VTM3|THE EQUALIZER
sport|all sports|VTM|ALLES VOOR DE SPELEN
knowledge|human interest/society|VRT 1|WHERE THE WILD MEN ARE
fiction|popular drama/comedy|VTM|BOYS
fiction|police|PLAY5|NCIS, LOS ANGELES
knowledge|nature/environment|VRT 1|AFRICA'S LOST WORLD
fiction|popular drama/comedy|VTM|JOHNNY ENGLISH, STRIKES AGAIN
entertainment|music|Canvas|ROCK WERCHTER LIVE
fiction|action|VTM2|PATSER
fiction|popular drama/comedy|VTM|FORREST GUMP
sport|cycling (road)|Canvas|WIELRENNEN. RONDE VAN FRANKRIJK
fiction|adventure|PLAY4|INDIANA JONES AND THE LAST CRUSADE
sport|cycling (road)|VRT 1|CLASSIQUE GILBERT
entertainment|variety|VRT 1|8ERAF!
knowledge|human interest/society|VTM|VERMASSEN
entertainment|variety|PLAY4|SHALOM ALLEMAAL!
sport|football|Canvas|VB. EK. U21 SCHIFT. - PORTUGAL/BELGIE
sport|cycling (road)|VRT 1|WIELRENNEN. BK. IZEGEM
sport|basketball|VRT 1|BASKET. EK. D. - SPANJE/BELGIE
fiction|popular drama/comedy|VRT 1|LA GRANDE VADROUILLE
sport|cycling (road)|Canvas|WIELRENNEN. BK. IZEGEM D.
fiction|popular drama/comedy|VTM|SAFETY FIRST, THE MOVIE
knowledge|show business/variety/stars|Canvas|THE MYSTERIOUS MR LAGERFELD
entertainment|variety|PLAY4|PATIENT DOMPI
fiction|action|VTM3|CONAN THE BARBARIAN
sport|basketball|Canvas|BASKET. EK. D. - BELGIE/FRANKRIJK
sport|football|Canvas|VB. EK. U21 SCHIFT. - BELGIE/GEORGIE
entertainment|variety|VTM|30 JAAR FAMILIE FEEST
fiction|adventure|VTM|CALL OF THE WILD
fiction|adventure|VRT 1|THE FORBIDDEN KINGDOM
knowledge|nature/environment|VRT 1|NATURE'S NURSERIES
fiction|action|VTM2|THE LAST DUEL
fiction|adventure|PLAY4|INDIANA JONES AND THE TEMPLE OF DOOM
fiction|action|VTM2|BLOODSHOT
sport|cycling (road)|VRT 1|WIELRENNEN. BK. TIJDRIJDEN HERZELE
sport|football|Canvas|VB. EK. U21 SCHIFT. - BELGIE/NEDERLAND
sport|football|VTM|VB. EK. KWALIF - ESTLAND/BELGIE
knowledge|humanities/history|Canvas|HEIZEL 1985
fiction|psychologic drama/melodrama|VRT 1|DAENS
sport|cycling (road)|VRT 1|WIELRENNEN. BALOISE BELGIUM TOUR - RIT 5 BRUSSEL>BRUSSEL
sport|football|VTM|VB. NATIONS LEAGUE UEFA FIN - CROATIA/SPAIN
sport|basketball|VRT 1|BASKET. EK. D. - BELGIE/ITALIE
sport|football|VTM|VB. EK. KWALIF - BELGIE/OOSTENRIJK
fiction|drama/comedy|VRT 1|UNBROKEN
information|current affair|Canvas|DE AFSPRAAK
fiction|drama/comedy|Canvas|COLETTE
sport|basketball|VRT 1|BASKET. EK. D. - BELGIE/ISRAEL
sport|athletics (track/piste)|VRT 1|ATLETIEK. OSLO (S.)
knowledge|humanities/history|Canvas|DE EEUWIGE OORLOG
sport|cycling (road)|VRT 1|WIELRENNEN. BALOISE BELGIUM TOUR - RIT 1 SCHERPENHEUVEL-ZICHEM>SCHERPENHEUV
knowledge|human interest/society|Canvas|MIRAKEL N.71
fiction|popular drama/comedy|VRT 1|FC DE KAMPIOENEN 4, VIVA BOMA
sport|cycling (road)|VRT 1|WIELRENNEN. ELFSTEDENRONDE
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 8 LE PONT-DE-CLAIX>LA BASTILLE
sport|cycling (road)|VRT 1|WIELRENNEN. DWARS DOOR HAGELAND D. (S.)
knowledge|culture/folklore/tradition|Canvas|LANGS DE NIEUWE ZIJDEROUTE
lifestyle|show business/variety/stars|VTM|ANDY OP PATROUILLE
sport|football|VTM2|VB. C1 UEFA 1/4F
entertainment|humour|VRT 1|GEUBELS EN DE HOLLANDERS
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 7 PORTE-DE-SAVOIE>COL DE LA CROIX DE
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 6 NANTUA>CREST-VOLAND
entertainment|game|VRT 1|CAMPUS CUP
sport|tennis|VRT 1|KIM CLIJSTERS COME BACK HOME
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 5 CORMORANCHE-SUR-SAONE>SALINS-LES-B
sport|football|Canvas|VB. C4 UEFA FIN - FIORENTINA/WEST HAM
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RTI 4 COURS>BELMONT-DE-LA-LOIRE
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 3 MONISTROL-SUR-LOIRE>LE COTEAU
sport|all sports|Canvas|EXTRA TIME
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 2 BRASSAC-LES-MINES>LA CHAISE-DIEU
fiction|popular drama/comedy|VRT 1|FC DE KAMPIOENEN 3, FOREVER
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENK/ANTWERPEN
sport|cycling (road)|VRT 1|WIELRENNEN. CRITERIUM DU DAUPHINE - RIT 1 CHAMBON-SUR-LAC>CHAMBON-SUR-LAC
sport|cycling (road)|VRT 1|WIELRENNEN. HEISTSE PIJL
fiction|drama/comedy|VTM|A FEW GOOD MEN
fiction|drama/comedy|VRT 1|ALS DE DIJKEN BREKEN
fiction|thriller|Canvas|PROMISING YOUNG WOMAN
knowledge|human interest/society|VRT 1|EEN JAAR VAN YOICA
sport|football|Canvas|VB. C3 UEFA FIN - SEVILLA FC/AS ROMA
information|special event|Canvas|UKRAINE'S WAR DIARIES
fiction|popular drama/comedy|VRT 1|FC DE KAMPIOENEN 2, JUBILEE GENERAL!
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANTWERPEN/UNION ST-GILLOISE
knowledge|humanities/history|Canvas|THE REAL CROWN
knowledge|books/writing/drawing|VRT 1|DE BOEKATHON
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGGE/GENK
fiction|police|Canvas|CARDINAL
fiction|thriller|VRT 1|SUSPECTS
fiction|action|VTM|911
fiction|popular drama/comedy|VTM2|FLODDER III
knowledge|photo/film/cinema|Canvas|TINA
entertainment|humour|PLAY4|BORIS
fiction|popular drama/comedy|VRT 1|F.C. DE KAMPIOENEN, KAMPIOEN ZIJN BLIJFT PLEZANT
sport|cycling (road)|VRT 1|WIELRENNEN. ANTWERPEN PORT EPIC
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - CL.BRUGES/ANTWERPEN
fiction|thriller|Canvas|AGENT HAMILTON
fiction|popular drama/comedy|VTM2|FLODDER IN AMERIKA!
sport|cycling (road)|VRT 1|WIELRENNEN. CIRCUIT DE WALLONIE
lifestyle|travel/tourism|VTM|IK VERTREK
entertainment|music|VRT 1|WILL TURA, HOOP DOET LEVEN
entertainment|humour|PLAY4|HELDEN VAN HET INTERNET
fiction|action|VTM2|ESCAPE PLAN
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANTWERPEN/CL.BRUGGE
fiction|action|VTM|ANGEL HAS FALLEN
sport|golf|VRT 1|SOUDAL OPEN
entertainment|talk|PLAY4|DE TAFEL VAN VIER
knowledge|human interest/society|Canvas|LAURENT, PRINS OP OVERSCHOT
entertainment|music|VRT 1|GUSTAPH, DE WEG NAAR LIVERPOOL
information|human interest/society|VTM|HELDEN VAN HIER, POLITIE OOSTENDE
lifestyle|travel/tourism|VTM|IK VERTREK UIT VLAANDEREN
entertainment|music|VRT 1|ABBA FOREVER, THE WINNER TAKES IT ALL
fiction|drama/comedy|VRT 1|ZONDER AFSPRAAK
entertainment|music|VTM|CAMILLE, LIVE IN DE LOTTO ARENA
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - ANTWERPEN/GENK
fiction|popular drama/comedy|VTM|DOCTOR DOLITTLE
knowledge|human interest/society|VRT 1|CHARLES R, THE MAKING OF A MONARCH
fiction|western|Canvas|HOSTILES
knowledge|media|Canvas|GUY MORTIER, SCHUDDEN VOOR GEBRUIK
lifestyle|home/decorating|VRT 1|ONS HUIS, NIEUWE HUIS
information|current affair|VRT 1|DE CEL VERMISTE PERSONEN
information|general news|EEN|HET 7 UUR-JOURNAAL
fiction|popular soap|EEN|THUIS
entertainment|variety|EEN|IEDEREEN BEROEMD
knowledge|human interest/society|EEN|EEN JAAR OP ZEE
entertainment|game|EEN|BLOKKEN
information|general news|EEN|HET 1 UUR-JOURNAAL
entertainment|game|EEN|CAMPUS CUP
lifestyle|cooking/food/drink|EEN|DAGELIJKSE KOST
information|general news|EEN|HET JOURNAAL LAAT
sport|other sports|EUROSPORT 1 (NL)|SNOOKER. WORLD CHAMPIONSHIP
fiction|police|EEN|FLIKKEN
information|current affair|EEN|DE NOODCENTRALE
lifestyle|home/decorating|EEN|CHATEAU PLANCKAERT
sport|all sports|EEN|SPORTWEEKEND
fiction|drama/comedy|EEN|ARCADIA
sport|basketball|VTM|VB. BB. 1/2F
information|current affair|EEN|DE ZEVENDE DAG
entertainment|music|VTM|STUDIO GUGA, ONGEHOORD
knowledge|human interest/society|EEN|LAURENT, PRINS OP OVERSCHOT
fiction|drama/comedy|EEN|ZONDER AFSPRAAK
sport|football|ELEVEN PRO LEAGUE 1 NL|VB. BK - GENK/CE.BRUGGE
entertainment|humour|EEN|GEUBELS EN DE HOLLANDERS
entertainment|humour|VTM|COMEDY TOPPERS
entertainment|variety|EEN|FC DE KAMPIOENEN
lifestyle|travel/tourism|EEN|VLAANDEREN VAKANTIELAND
